JST Time,hour_ts,value,energy_consmption
13:36,04:36,46.34,energy_consumption
13:51,04:51,57.39,energy_consumption
14:06,05:06,62.53,energy_consumption
14:21,05:21,39.07,energy_consumption
14:36,05:36,59.03,energy_consumption
14:51,05:51,51.45,energy_consumption
15:06,06:06,59.79,energy_consumption
15:21,06:21,52.35,energy_consumption
15:36,06:36,50.15,energy_consumption
15:51,06:51,61.17,energy_consumption
16:06,07:06,67.28,energy_consumption
16:21,07:21,46.57,energy_consumption
16:36,07:36,58.21,energy_consumption
16:51,07:51,54.25,energy_consumption
17:06,08:06,77.4,energy_consumption
17:21,08:21,71.86,energy_consumption
17:36,08:36,61.13,energy_consumption
17:51,08:51,54.86,energy_consumption
18:06,09:06,22.26,energy_consumption
18:21,09:21,19.31,energy_consumption
18:36,09:36,6.39,energy_consumption
18:51,09:51,10.28,energy_consumption
19:06,10:06,13.49,energy_consumption
19:21,10:21,17.74,energy_consumption
19:36,10:36,8.71,energy_consumption
19:51,10:51,14.74,energy_consumption
20:06,11:06,24.54,energy_consumption
20:21,11:21,19.56,energy_consumption
20:36,11:36,12.32,energy_consumption
20:51,11:51,19.6,energy_consumption
21:06,12:06,15.59,energy_consumption
21:21,12:21,10.94,energy_consumption
21:36,12:36,17.98,energy_consumption
21:51,12:51,21.53,energy_consumption
22:06,13:06,8.36,energy_consumption
22:21,13:21,18.37,energy_consumption
22:36,13:36,15.9,energy_consumption
22:51,13:51,14.86,energy_consumption
23:06,14:06,19.99,energy_consumption
23:21,14:21,13.07,energy_consumption
23:36,14:36,11.1,energy_consumption
23:51,14:51,13.81,energy_consumption
00:06,15:06,50.09,energy_consumption
00:21,15:21,51.18,energy_consumption
00:36,15:36,56.89,energy_consumption
00:51,15:51,55.95,energy_consumption
01:06,16:06,51.29,energy_consumption
01:21,16:21,58.46,energy_consumption
01:36,16:36,43.88,energy_consumption
01:51,16:51,51.46,energy_consumption
02:06,17:06,63.76,energy_consumption
02:21,17:21,33.06,energy_consumption
02:36,17:36,66.41,energy_consumption
02:51,17:51,50.38,energy_consumption
03:06,18:06,50.0,energy_consumption
03:21,18:21,80.29,energy_consumption
03:36,18:36,47.55,energy_consumption
03:51,18:51,61.43,energy_consumption
04:06,19:06,72.56,energy_consumption
04:21,19:21,56.67,energy_consumption
04:36,19:36,65.94,energy_consumption
04:51,19:51,67.52,energy_consumption
05:06,20:06,42.66,energy_consumption
05:21,20:21,59.68,energy_consumption
05:36,20:36,53.13,energy_consumption
05:51,20:51,53.84,energy_consumption
06:06,21:06,57.84,energy_consumption
06:21,21:21,46.46,energy_consumption
06:36,21:36,49.48,energy_consumption
06:51,21:51,50.2,energy_consumption
07:06,22:06,72.64,energy_consumption
07:21,22:21,47.82,energy_consumption
07:36,22:36,62.27,energy_consumption
07:51,22:51,50.86,energy_consumption
08:06,23:06,42.5,energy_consumption
08:21,23:21,69.96,energy_consumption
08:36,23:36,47.84,energy_consumption
08:51,23:51,59.8,energy_consumption
09:06,00:06,67.51,energy_consumption
09:21,00:21,40.97,energy_consumption
09:36,00:36,58.97,energy_consumption
09:51,00:51,53.49,energy_consumption
10:06,01:06,57.72,energy_consumption
10:21,01:21,48.7,energy_consumption
10:36,01:36,52.13,energy_consumption
10:51,01:51,80.78,energy_consumption
