SrNo,MenuName,Icon,ISDDM,AccessTo,ControllerName,ActionName,IsActive,EntryBy,EntryDate,Position
1,Access Area,"<i class=""fas fa-key""></i>
",True,,,,True,PIS02419,2021-09-30 10:38:11.270,1.0
3,,,,17.0,AccessArea,SubMenuAccess,True,PIS02419,2021-09-30 11:36:38.580,
7,,,,17.0,AccessArea,SpecialAccessMenu,True,PIS00792,2021-09-30 15:07:35.387,
8,,,,17.0,AccessArea,SpecialAccessSubMenu,True,PIS00792,2021-09-30 15:08:06.577,
16,,,,17.0,AccessArea,SetPosition,True,PIS00792,2021-10-01 10:40:28.577,
17,,,,17.0,AccessArea,DelAccess,True,PIS00792,2021-10-01 10:48:19.973,
18,,,,17.0,AccessArea,DelSpecial,True,PIS00792,2021-10-01 10:48:35.200,
19,Report,"<i class=""fas fa-clipboard-list""></i>
",True,,,,True,p200002,2021-10-05 11:46:14.470,22.0
20,Client Feedback,"<i class=""far fa-comment-alt""></i>
",True,,,,True,p200002,2021-10-05 12:01:39.377,5.0
21,Forecast,"<i class=""fas fa-chart-line""></i>
",False,,,,True,p200002,2021-10-05 12:11:04.613,21.0
22,Approval,"<i class=""fas fa-clipboard-check""></i>
",True,,,,True,p200002,2021-10-05 12:17:12.037,3.0
23,Projects,"<i class=""fas fa-box-open""></i>
",True,,,,True,p200002,2021-10-05 12:21:34.007,1.0
24,Audit,"<i class=""fas fa-file-alt""></i>
",True,,,,True,p200002,2021-10-05 13:05:24.137,
25,IL,"<i class=""fas fa-user""></i>
",True,,,,True,p200002,2021-10-05 13:10:06.017,
26,,,,28.0,NBA_Authorization,Edit,True,p200002,2021-10-05 13:15:13.760,
27,Project Analysis,"<i class=""fas fa-chart-pie""></i> ",True,,,,True,p200002,2021-10-05 15:29:33.477,
28,COE Hour,"<i class=""fas fa-clock""></i>
",False,28.0,COENBA,Index,True,p200002,2021-10-05 15:34:35.750,
29,,,,28.0,COENBA,Create,True,p200002,2021-10-05 15:35:28.107,
30,Invoice,"<i class=""fas fa-receipt""></i> ",True,,,,True,p200002,2021-10-05 16:09:39.490,4.0
31,Manage Team,"<i class=""fas fa-users""></i>
",True,,,,True,p200002,2021-10-05 16:16:44.737,2.0
32,Manage Projects,"<i class=""fas fa-box""></i>
",True,,,,True,p200002,2021-10-05 16:23:30.287,1.0
33,,,,10.0,AccessProvider,Edit,True,p200002,2021-10-05 16:48:07.660,
34,Master Setup,"<i class=""fas fa-cogs""></i>
",True,,,,True,p200002,2021-10-05 17:45:39.037,6.0
35,Allocate Resource,"<i class=""icon-arrow-right""></i>",False,11.0,TLProjectReport,Index,True,p200002,2021-10-05 17:50:16.820,
36,,,,11.0,TLProjectReport,Details,True,p200002,2021-10-05 17:53:23.560,
37,,,,11.0,Project_AreaZone,Create,True,p200002,2021-10-05 17:55:08.800,
38,,,,11.0,Project_AreaZone,Index,True,p200002,2021-10-05 17:55:36.250,
39,,,,11.0,Project_AreaZone,Edit,True,p200002,2021-10-05 17:55:47.973,
40,,,,11.0,Project_AreaZone,DeleteArea,True,p200002,2021-10-05 17:56:07.287,
41,,,,11.0,TLProjectActivityDetails,Create,True,p200002,2021-10-05 17:56:54.473,
42,,,,11.0,TLProjectActivityDetails,Edit,True,p200002,2021-10-05 17:57:07.807,
43,,,,11.0,TLProjectActivityDetails,Index,True,p200002,2021-10-05 17:57:30.513,
46,,,,13.0,Addin_Declaration,Index,True,p200002,2021-10-05 17:59:23.927,
47,,,,11.0,BackLog,Create,True,p200002,2021-10-05 18:00:01.533,
48,,,,13.0,BackLog,Create,True,p200002,2021-10-05 18:00:01.550,
49,,,,11.0,PMViewCompletedActivities,Edit,True,p200002,2021-10-05 18:01:58.780,
50,Log,"<i class=""icon-arrow-right""></i>",True,,,,True,p200002,2021-10-05 18:06:40.357,
51,,,,11.0,Project_NBA,Create,True,p200002,2021-10-05 18:08:56.580,
52,,,,13.0,Project_NBA,Create,True,p200002,2021-10-05 18:08:56.617,
53,,,,11.0,Project_NBA,Edit,True,p200002,2021-10-05 18:09:07.730,
54,,,,13.0,Project_NBA,Edit,True,p200002,2021-10-05 18:09:07.773,
55,,,,11.0,IdleHour,Create,True,p200002,2021-10-05 18:10:00.853,
56,,,,13.0,IdleHour,Create,True,p200002,2021-10-05 18:10:00.880,
57,Support,"<i class=""icon-arrow-right""></i>",True,,,,True,p200002,2021-10-07 12:05:19.660,
58,,,,10.0,BackLog,Index,True,p200002,2021-10-07 17:57:47.143,
59,,,,11.0,BackLog,Index,True,p200002,2021-10-07 17:57:47.153,
60,,,,13.0,BackLog,Index,True,p200002,2021-10-07 17:57:47.177,
61,,,,11.0,TeamMemberActivity,BackLog,True,p200002,2021-10-07 17:59:23.147,
62,,,,13.0,TeamMemberActivity,BackLog,True,p200002,2021-10-07 17:59:23.157,
63,,,,11.0,Addin_Declaration,Index,True,p200002,2021-10-07 17:59:41.123,
65,,,,11.0,Addin_Declaration,Details,True,p200002,2021-10-07 17:59:58.677,
66,,,,13.0,Addin_Declaration,Details,True,p200002,2021-10-07 17:59:58.687,
67,,,,15.0,ProjectDetails,Edit,True,p200002,2021-10-07 18:05:38.660,
68,,,,15.0,ProjectBreakdown,Index,True,p200002,2021-10-07 18:06:01.297,
69,,,,15.0,ProjectBreakdown,Create,True,p200002,2021-10-07 18:06:13.713,
70,,,,15.0,ProjectBreakdown,Edit,True,p200002,2021-10-07 18:06:38.507,
71,,,,15.0,ProjectProfile,Create,True,p200002,2021-10-07 18:07:28.680,
72,,,,15.0,ProjectProfile,Edit,True,p200002,2021-10-07 18:07:37.347,
73,Client,"<i class=""icon-arrow-right""></i>",True,,,,True,p200002,2021-10-07 18:08:41.867,
74,,,,15.0,ClientProf,Edit,True,p200002,2021-10-07 18:10:24.713,
76,,,,15.0,ClientContact,Create,True,p200002,2021-10-07 18:10:55.080,
77,,,,15.0,ClientContact,Index,True,p200002,2021-10-07 18:11:17.850,
