SrNo,MenuName,Icon,ISDDM,AccessTo,ControllerName,ActionName,IsActive,EntryBy,EntryDate,Position
472,,,,13.0,TeamMemberActivity,Create,True,PIS02419,2023-05-08 17:58:08.137,
71,,,,15.0,ProjectProfile,Create,True,p200002,2021-10-07 18:07:28.680,
385,,,,10.0,Forum,GrantPBAccess,True,PIS02419,2022-10-21 17:58:39.123,
249,,,,37.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.610,
396,,,,11.0,QC,TradeList,True,PIS02419,2022-11-08 14:31:41.757,
514,,,,14.0,Support,ResetUserToCognito,True,PIS03082,2023-06-21 14:44:29.940,
350,,,,10.0,Forum,SaveForumComment,True,PIS02069,2022-08-29 14:23:25.927,
452,,,,21.0,Dashboard,OverTime,True,PIS03082,2023-03-13 17:08:14.940,
512,,,,14.0,Support,AddUserToCognito,True,PIS03082,2023-06-21 14:43:31.023,
37,,,,11.0,Project_AreaZone,Create,True,p200002,2021-10-05 17:55:08.800,
256,,,,10.0,ResourceTransfer,OSDTransfer,True,PIS200002,2022-02-03 14:38:59.010,
207,,,,29.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.327,
426,,,,17.0,Support,DownloadFailedData,True,PIS03082,2022-12-20 17:32:26.573,
180,,,,10.0,HrOneImage,1234,True,PIS200002,2021-12-04 12:06:04.477,
56,,,,13.0,IdleHour,Create,True,p200002,2021-10-05 18:10:00.880,
387,,,,11.0,TLProjectReport,Browser,True,PIS03082,2022-11-01 19:05:21.393,
470,,,,37.0,Dashboard,TotalOverTime,True,PIS03082,2023-04-21 17:48:09.767,
304,,,,10.0,Exporter,JobLoadDetailsPercentageExport,True,PIS03082,2022-03-28 14:15:36.863,
507,,,,27.0,Exporter,ApproveInvoiceExporter,True,PIS03082,2023-06-16 16:00:31.173,
307,,,,10.0,ProjectExecn,ServiceContractor,True,PIS03082,2022-04-05 10:44:13.953,
247,,,,28.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.557,
446,,,,10.0,PMAssignTL,UpdateAllEndDate,True,PIS03082,2023-01-23 18:08:33.733,
439,,,,37.0,RFI,Logs,True,PIS02419,2023-01-10 19:23:33.357,
354,,,,36.0,RMFeedback,GetProjectByPDH,True,PIS03082,2022-09-06 10:17:59.147,
34,Master Setup,"<i class=""fas fa-cogs""></i>
",True,,,,True,p200002,2021-10-05 17:45:39.037,6.0
356,,,,36.0,RMReport,ViewClient,True,PIS03082,2022-09-06 18:07:42.540,
60,,,,13.0,BackLog,Index,True,p200002,2021-10-07 17:57:47.177,
43,,,,11.0,TLProjectActivityDetails,Index,True,p200002,2021-10-05 17:57:30.513,
133,,,,33.0,Project_Awarding_Data_Sheet,Details,True,PIS200002,2021-11-29 15:29:40.177,
364,,,,10.0,Support,MemberList,True,PIS03082,2022-09-17 08:21:33.580,
330,,,,33.0,ResourceTrnsfr_Prmnt,MyBenchMembers,True,PIS02419,2022-05-26 17:51:34.230,
333,,,,28.0,ResourceTrnsfr_Prmnt,saveUptoDate,True,PIS02419,2022-05-26 17:51:34.230,
72,,,,15.0,ProjectProfile,Edit,True,p200002,2021-10-07 18:07:37.347,
294,,,,28.0,COE,Index,True,pis02419,2022-03-08 12:08:27.507,
36,,,,11.0,TLProjectReport,Details,True,p200002,2021-10-05 17:53:23.560,
29,,,,28.0,COENBA,Create,True,p200002,2021-10-05 15:35:28.107,
199,,,,13.0,ILReports,Member_Requisition,True,PIS02419,2022-01-07 10:44:54.060,
82,,,,15.0,State,Edit,True,p200002,2021-10-07 18:15:28.990,
438,,,,28.0,RFI,Logs,True,PIS02419,2023-01-10 19:23:33.327,
443,,,,10.0,Invoice,ApprovedInvoicePDHs,True,PIS03082,2023-01-17 14:15:52.887,
114,,,,13.0,TeamMemberActivity,SaveLog,True,PIS200002,2021-11-26 17:24:44.953,
173,,,,11.0,ILReports,Details,True,PIS200002,2021-12-03 15:19:53.787,
517,,,,13.0,ClashCoordination,Index,True,PIS03082,2023-08-17 15:03:27.197,
35,Allocate Resource,"<i class=""icon-arrow-right""></i>",False,11.0,TLProjectReport,Index,True,p200002,2021-10-05 17:50:16.820,
391,,,,10.0,RFI,Index,True,PIS02419,2022-11-04 08:17:17.223,
442,,,,15.0,ProjectProfile,FinishProjectRejectList,True,PIS03082,2023-01-17 09:44:57.357,
